Month,Day,Temperature (°F)_max,Temperature (°F)_avg,Temperature (°F)_min,Dew Point (°F)_max,Dew Point (°F)_avg,Dew Point (°F)_min,Humidity (%)_max,Humidity (%)_avg,Humidity (%)_min,Wind Speed (mph)_max,Wind Speed (mph)_avg,Wind Speed (mph)_min,Pressure (in)_max,Pressure (in)_avg,Pressure (in)_min
Oct,1,93,81.7,72,64,61.1,55,73,51.9,30,9,2.0,0,29.0,29.0,28.9
Oct,2,93,82.5,72,66,63.7,63,73,54.5,36,12,2.5,0,29.1,29.0,28.9
Oct,3,93,82.3,70,66,63.5,61,78,54.4,34,16,4.3,0,29.1,29.0,28.9
Oct,4,93,82.6,72,68,62.8,55,83,54.4,28,12,2.5,0,29.1,29.0,29.0
Oct,5,93,83.0,73,68,63.2,57,78,53.4,31,12,2.4,0,29.0,29.0,28.9
Oct,6,93,81.8,72,68,66.0,64,83,60.7,38,12,3.0,0,29.0,28.9,28.9
Oct,7,93,83.1,73,70,68.3,66,78,62.0,41,9,4.8,0,29.0,29.0,28.9
Oct,8,93,84.2,73,72,71.1,66,83,64.7,49,7,2.8,0,29.0,29.0,28.9
Oct,9,91,82.3,68,79,71.9,64,100,72.0,49,58,10.4,0,29.1,29.0,28.9
Oct,10,86,76.3,66,66,62.9,59,83,64.4,45,21,8.5,0,29.2,29.1,29.0
Oct,11,90,78.2,68,64,61.7,59,83,59.6,36,12,4.7,0,29.2,29.1,29.0
Oct,12,91,79.8,68,64,62.3,61,83,56.7,36,7,1.5,0,29.2,29.1,29.1
Oct,13,90,79.8,70,68,64.8,63,83,62.5,43,9,3.4,0,29.2,29.1,29.1
Oct,14,84,74.5,64,68,63.6,59,100,70.1,45,46,12.7,0,29.2,28.6,0.0
Oct,15,84,72.9,63,66,62.0,59,100,71.1,45,14,3.5,0,29.2,29.1,29.0
Oct,16,72,68.3,64,64,63.4,59,88,85.4,78,23,7.8,0,29.2,29.1,29.0
Oct,17,75,66.9,61,63,59.7,57,94,78.4,57,18,10.5,3,29.3,29.3,29.2
Oct,18,81,70.3,61,59,55.6,54,83,62.4,42,12,5.9,0,29.3,29.3,29.2
Oct,19,82,72.1,61,61,57.1,55,83,61.1,42,9,2.5,0,29.3,29.2,29.2
Oct,20,86,73.8,61,63,58.4,55,82,60.1,42,9,1.5,0,29.3,29.2,29.2
Oct,21,84,73.5,63,66,61.0,57,83,65.9,45,9,1.2,0,29.3,29.3,29.2
Oct,22,81,73.8,64,68,65.0,61,88,75.1,61,7,1.4,0,29.3,29.3,29.2
Oct,23,82,73.9,64,64,58.8,55,88,61.5,42,14,5.0,0,29.3,29.2,29.2
Oct,24,84,74.7,64,63,59.7,57,88,61.4,40,7,1.5,0,29.2,29.2,29.2
Oct,25,88,75.7,63,63,59.8,57,88,60.1,35,12,2.5,0,29.3,29.2,29.2
Oct,26,88,75.0,63,63,59.8,57,88,61.7,35,9,1.9,0,29.2,29.2,29.2
Oct,27,88,76.1,64,64,61.3,59,88,62.2,38,9,1.6,0,29.2,29.2,29.1
Oct,28,84,75.3,64,66,63.3,61,88,67.3,51,5,0.4,0,29.2,29.2,29.2
Oct,29,84,74.9,64,68,65.6,61,94,74.0,55,0,0.0,0,29.2,29.2,29.2
Oct,30,86,75.1,63,68,64.3,57,94,71.1,45,6,0.8,0,29.3,29.2,29.2
Oct,31,86,74.6,0,70,65.5,0,88,72.2,0,3,0.1,0,29.3,29.3,29.2
